country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,Average grace period on new external debt commitments (years),DT.GPA.DPPG,104
Afghanistan,AFG,"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,104
Afghanistan,AFG,"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT,0
Afghanistan,AFG,Average grant element on new external debt commitments (%),DT.GRE.DPPG,392
Afghanistan,AFG,"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,392
Afghanistan,AFG,"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT,0
Afghanistan,AFG,Average interest on new external debt commitments (%),DT.INR.DPPG,7
Afghanistan,AFG,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,7
Afghanistan,AFG,"Average interest on new external debt commitments, private (%)",DT.INR.PRVT,0
Afghanistan,AFG,Average maturity on new external debt commitments (years),DT.MAT.DPPG,247
Afghanistan,AFG,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,247
Afghanistan,AFG,"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT,0
Afghanistan,AFG,"CB, bilateral (AMT, current US$)",DT.AMT.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (DIS, current US$)",DT.DIS.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (DOD, current US$)",DT.DOD.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (INT, current US$)",DT.INT.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (NFL, current US$)",DT.NFL.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (NTR, current US$)",DT.NTR.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral (TDS, current US$)",DT.TDS.BLAT.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (INT, current US$)",DT.INT.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CB.CD,0
Afghanistan,AFG,"CB, bonds (AMT, current US$)",DT.AMT.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (DIS, current US$)",DT.DIS.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (DOD, current US$)",DT.DOD.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (INT, current US$)",DT.INT.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (NFL, current US$)",DT.NFL.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (NTR, current US$)",DT.NTR.PBND.CB.CD,0
Afghanistan,AFG,"CB, bonds (TDS, current US$)",DT.TDS.PBND.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (AMT, current US$)",DT.AMT.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (DIS, current US$)",DT.DIS.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (DOD, current US$)",DT.DOD.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (INT, current US$)",DT.INT.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (NFL, current US$)",DT.NFL.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (NTR, current US$)",DT.NTR.PCBK.CB.CD,0
Afghanistan,AFG,"CB, commercial banks (TDS, current US$)",DT.TDS.PCBK.CB.CD,0
Afghanistan,AFG,"CB, multilateral (AMT, current US$)",DT.AMT.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (DIS, current US$)",DT.DIS.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (DOD, current US$)",DT.DOD.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (INT, current US$)",DT.INT.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (NFL, current US$)",DT.NFL.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (NTR, current US$)",DT.NTR.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral (TDS, current US$)",DT.TDS.MLAT.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (INT, current US$)",DT.INT.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CB.CD,0
Afghanistan,AFG,"CB, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CB.CD,0
Afghanistan,AFG,"CB, official creditors (AMT, current US$)",DT.AMT.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (DIS, current US$)",DT.DIS.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (DOD, current US$)",DT.DOD.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (INT, current US$)",DT.INT.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (NFL, current US$)",DT.NFL.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (NTR, current US$)",DT.NTR.OFFT.CB.CD,0
Afghanistan,AFG,"CB, official creditors (TDS, current US$)",DT.TDS.OFFT.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (AMT, current US$)",DT.AMT.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (DIS, current US$)",DT.DIS.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (DOD, current US$)",DT.DOD.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (INT, current US$)",DT.INT.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (NFL, current US$)",DT.NFL.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (NTR, current US$)",DT.NTR.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (TDS, current US$)",DT.TDS.PROP.CB.CD,0
Afghanistan,AFG,"CB, private creditors (AMT, current US$)",DT.AMT.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (DIS, current US$)",DT.DIS.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (DOD, current US$)",DT.DOD.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (INT, current US$)",DT.INT.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (NFL, current US$)",DT.NFL.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (NTR, current US$)",DT.NTR.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (TDS, current US$)",DT.TDS.PRVT.CB.CD,0
Afghanistan,AFG,"Commitments, bilateral creditors (COM, current US$)",DT.COM.BLAT.CD,359958620
Afghanistan,AFG,"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,0
Afghanistan,AFG,"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,0
Afghanistan,AFG,"Commitments, multilateral creditors (COM, current US$)",DT.COM.MLAT.CD,278932479
Afghanistan,AFG,"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD,638891099
Afghanistan,AFG,"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD,0
